search_alph,too_many_math,zero_math
QS,False,True
QT,False,True
QU,True,False
QV,False,False
QW,False,True
QX,False,True
QY,False,True
QZ,False,True
Q',False,True
RA,True,False
RB,False,True
RC,False,True
RD,False,True
RE,True,False
RF,False,True
RG,False,False
RH,True,False
RI,True,False
RJ,False,False
RK,False,True
RL,False,True
RM,False,False
RN,False,True
RO,True,False
RP,False,True
RQ,False,True
RR,False,True
RS,False,True
RT,False,False
RU,True,False
RV,False,False
RW,False,False
RX,False,True
RY,True,False
RZ,False,False
R',False,True
SA,True,False
SB,False,False
SC,True,False
SD,False,True
SE,True,False
SF,False,False
SG,False,False
SH,True,False
SI,True,False
SJ,False,False
SK,True,False
SL,True,False
SM,True,False
SN,True,False
SO,True,False
SP,True,False
SQ,False,False
SR,True,False
SS,True,False
ST,True,False
SU,True,False
SV,True,False
SW,True,False
SX,False,True
SY,True,False
SZ,True,False
S',False,True
TA,True,False
TB,False,True
TC,False,False
TD,False,True
TE,True,False
TF,False,True
TG,False,True
TH,True,False
TI,True,False
TJ,False,False
TK,False,False
TL,False,False
TM,False,False
TN,False,True
TO,True,False
TP,False,True
TQ,False,True
TR,True,False
TS,True,False
TT,False,True
TU,True,False
TV,False,False
TW,False,False
TX,False,True
TY,False,False
TZ,False,False
T',False,False
UA,False,False
UB,False,False
UC,False,False
UD,False,False
UE,False,False
UF,False,False
UG,False,False
UH,False,False
UI,False,False
UJ,False,False
UK,False,False
UL,True,False
UM,False,False
UN,True,False
UO,False,False
UP,False,False
UQ,False,True
UR,True,False
US,False,False
UT,False,False
UU,False,False
UV,False,False
UW,False,False
UX,False,True
UY,False,False
UZ,False,False
U',False,True
VA,True,False
VB,False,True
VC,False,False
VD,False,False
VE,True,False
VF,False,True
VG,False,True
VH,False,False
VI,True,False
VJ,False,True
VK,False,True
VL,False,False
VM,False,True
VN,False,True
VO,True,False
VP,False,True
VQ,False,True
VR,False,False
VS,False,False
VT,False,True
VU,True,False
VV,False,False
VW,False,True
VX,False,True
VY,False,False
VZ,False,True
V',False,False
WA,True,False
WB,False,True
WC,False,False
WD,False,True
WE,True,False
WF,False,True
WG,False,True
WH,True,False
WI,True,False
WJ,False,True
WK,False,True
WL,False,False
WM,False,True
WN,False,False
WO,True,False
WP,False,True
WQ,False,True
WR,True,False
WS,False,False
WT,False,True
WU,True,False
WV,False,True
WW,False,True
WX,False,True
WY,True,False
WZ,False,True
W',False,True
XA,False,False
XB,False,True
XC,False,True
XD,False,True
XE,False,False
XF,False,True
XG,False,True
XH,False,False
XI,True,False
XJ,False,True
XK,False,True
XL,False,True
XM,False,True
XN,False,True
XO,False,True
XP,False,True
XQ,False,True
XR,False,True
XS,False,True
XT,False,True
XU,True,False
XV,False,True
XW,False,True
XX,False,True
XY,False,False
XZ,False,True
X',False,True
YA,True,False
YB,False,False
YC,False,False
YD,False,False
YE,True,False
YF,False,False
YG,False,False
YH,False,False
YI,True,False
YJ,False,True
YK,False,False
YL,False,False
YM,False,True
YN,False,False
YO,True,False
YP,False,False
YQ,False,True
YR,False,True
YS,False,False
YT,False,False
YU,True,False
YV,False,False
YW,False,True
YX,False,True
YY,False,True
YZ,False,False
Y',False,True
ZA,True,False
ZB,False,False
ZC,False,True
ZD,False,False
ZE,True,False
ZF,False,True
ZG,False,False
ZH,True,False
ZI,True,False
ZJ,False,True
ZK,False,True
ZL,False,False
ZM,False,False
ZN,False,False
ZO,True,False
ZP,False,True
ZQ,False,True
ZR,False,False
ZS,False,False
ZT,False,True
ZU,True,False
ZV,False,False
ZW,False,False
ZX,False,True
ZY,False,False
ZZ,False,True
Z',False,True
ABA,False,False
ABB,True,False
ABC,False,False
ABD,True,False
ABE,True,False
ABF,False,True
ABG,False,False
ABH,False,False
ABI,False,False
ABJ,False,True
ABK,False,False
ABL,False,False
ABM,False,False
ABN,False,False
ABO,False,False
ABP,False,False
ABQ,False,True
ABR,True,False
ABS,False,False
ABT,False,False
ABU,False,False
ABV,False,True
ABW,False,True
ABX,False,True
ABY,False,False
ABZ,False,False
AB',False,True
ACA,False,False
ACB,False,True
ACC,False,False
ACD,False,True
ACE,False,False
ACF,False,True
ACG,False,True
ACH,False,False
ACI,False,False
ACJ,False,True
ACK,False,False
ACL,False,True
ACM,False,True
ACN,False,True
ACO,False,False
ACP,False,True
ACQ,False,False
ACR,False,False
ACS,False,False
ACT,False,False
ACU,False,False
ACV,False,True
ACW,False,False
ACX,False,True
ACY,False,True
ACZ,False,False
AC',False,True
ADA,True,False
ADB,False,False
ADC,False,False
ADD,False,False
ADE,False,False
ADF,False,True
ADG,False,True
ADH,False,False
ADI,False,False
ADJ,False,False
ADK,False,False
ADL,False,False
ADM,False,False
ADN,False,False
ADO,False,False
ADP,False,True
ADQ,False,True
ADR,False,False
ADS,False,False
ADT,False,True
ADU,False,False
ADV,False,False
ADW,False,False
ADX,False,True
ADY,False,False
ADZ,False,False
AD',False,True
AGA,False,False
AGB,False,False
AGC,False,True
AGD,False,True
AGE,False,False
AGF,False,True
AGG,False,False
AGH,False,False
AGI,False,False
AGJ,False,True
AGK,False,True
AGL,False,False
AGM,False,False
AGN,False,False
AGO,False,False
AGP,False,True
AGQ,False,True
AGR,False,False
AGS,False,False
AGT,False,False
AGU,False,False
AGV,False,True
AGW,False,False
AGX,False,True
AGY,False,False
AGZ,False,True
AG',False,True
AHA,False,False
AHB,False,True
AHC,False,True
AHD,False,False
AHE,False,False
AHF,False,True
AHG,False,False
AHH,False,True
AHI,False,False
AHJ,False,False
AHK,False,False
AHL,False,False
AHM,True,False
AHN,False,False
AHO,False,False
AHP,False,True
AHQ,False,True
AHR,False,False
AHS,False,False
AHT,False,True
AHU,False,False
AHV,False,True
AHW,False,True
AHX,False,True
AHY,False,True
AHZ,False,True
AH',False,True
AIA,False,False
AIB,False,False
AIC,False,False
AID,False,False
AIE,False,False
AIF,False,False
AIG,False,False
AIH,False,False
AII,False,True
AIJ,False,False
AIK,False,False
AIL,False,False
AIM,False,False
AIN,False,False
AIO,False,False
AIP,False,True
AIQ,False,True
AIR,False,False
AIS,False,False
AIT,False,False
AIU,False,True
AIV,False,False
AIW,False,True
AIX,False,True
AIY,False,False
AIZ,False,False
AI',False,True
AKA,False,False
AKB,False,False
AKC,False,False
AKD,False,False
AKE,False,False
AKF,False,True
AKG,False,False
AKH,False,False
AKI,False,False
AKJ,False,True
AKK,False,False
AKL,False,False
AKM,False,False
AKN,False,False
AKO,False,False
AKP,False,False
AKQ,False,True
AKR,False,False
AKS,False,False
AKT,False,False
AKU,False,False
AKV,False,False
AKW,False,False
AKX,False,True
AKY,False,False
AKZ,False,False
AK',False,True
ALA,True,False
ALB,True,False
ALC,False,False
ALD,False,False
ALE,True,False
ALF,False,False
ALG,False,False
ALH,False,False
ALI,True,False
ALJ,False,False
ALK,False,False
ALL,True,False
ALM,True,False
ALN,False,False
ALO,False,False
ALP,False,False
ALQ,False,False
ALR,False,False
ALS,False,False
ALT,True,False
ALU,False,False
ALV,True,False
ALW,False,False
ALX,False,True
ALY,False,False
ALZ,False,False
AL',False,False
AMA,False,False
AMB,False,False
AMC,False,False
AMD,False,False
AME,False,False
AMF,False,True
AMG,False,False
AMH,False,True
AMI,True,False
AMJ,False,False
AMK,False,False
AML,False,False
AMM,False,False
AMN,False,True
AMO,False,False
AMP,False,False
AMQ,False,True
AMR,False,False
AMS,False,False
AMT,False,False
AMU,False,False
AMV,False,True
AMW,False,True
AMX,False,True
AMY,False,False
AMZ,False,False
AM',False,True
ANA,False,False
ANB,False,False
ANC,False,False
AND,True,False
ANE,False,False
ANF,False,False
ANG,True,False
ANH,False,False
ANI,False,False
ANJ,False,False
ANK,False,False
ANL,False,False
ANM,False,True
ANN,False,False
ANO,False,False
ANP,False,True
ANQ,False,False
ANR,False,True
ANS,False,False
ANT,True,False
ANU,False,False
ANV,False,False
ANW,False,False
ANX,False,True
ANY,False,False
ANZ,False,False
AN',False,False
APA,False,False
APB,False,True
APC,False,True
APD,False,True
APE,False,False
APF,False,False
APG,False,True
APH,False,False
API,False,False
APJ,False,True
APK,False,True
APL,False,True
APM,False,True
APN,False,True
APO,False,False
APP,False,False
APQ,False,True
APR,False,False
APS,False,False
APT,False,False
APU,False,False
APV,False,True
APW,False,True
APX,False,True
APY,False,True
APZ,False,True
AP',False,True
ARA,True,False
ARB,False,False
ARC,False,False
ARD,False,False
ARE,False,False
ARF,False,False
ARG,False,False
ARH,False,False
ARI,False,False
ARJ,False,False
ARK,False,False
ARL,False,False
ARM,True,False
ARN,True,False
ARO,False,False
ARP,False,False
ARQ,False,True
ARR,False,False
ARS,False,False
ART,False,False
ARU,False,False
ARV,False,False
ARW,False,False
ARX,False,True
ARY,False,False
ARZ,False,False
AR',False,True
ASA,False,False
ASB,False,False
ASC,False,False
ASD,False,False
ASE,False,False
ASF,False,False
ASG,False,False
ASH,True,False
ASI,False,False
ASJ,False,True
ASK,False,False
ASL,False,False
ASM,False,False
ASN,False,False
ASO,False,False
ASP,False,False
ASQ,False,False
ASR,False,False
ASS,True,False
AST,False,False
ASU,False,False
ASV,False,False
ASW,False,False
ASX,False,True
ASY,False,False
ASZ,False,True
AS',False,True
ATA,False,False
ATB,False,True
ATC,False,False
ATD,False,True
ATE,False,False
ATF,False,True
ATG,False,True
ATH,False,False
ATI,False,False
ATJ,False,False
ATK,False,False
ATL,False,False
ATM,False,False
ATN,False,False
ATO,False,False
ATP,False,True
ATQ,False,True
ATR,False,False
ATS,False,False
ATT,False,False
ATU,False,False
ATV,False,False
ATW,False,False
ATX,False,True
ATY,False,False
ATZ,False,False
AT',False,True
AUA,False,False
AUB,False,False
AUC,False,False
AUD,False,False
AUE,False,False
AUF,False,False
AUG,False,False
AUH,False,False
AUI,False,False
AUJ,False,False
AUK,False,False
AUL,False,False
AUM,False,False
AUN,False,False
AUO,False,True
AUP,False,False
AUQ,False,False
AUR,False,False
AUS,False,False
AUT,False,False
AUU,False,True
AUV,False,False
AUW,False,False
AUX,False,True
AUY,False,False
AUZ,False,False
AU',False,True
AVA,False,False
AVB,False,True
AVC,False,False
AVD,False,False
AVE,False,False
AVF,False,True
AVG,False,False
AVH,False,True
AVI,False,False
AVJ,False,True
AVK,False,False
AVL,False,True
AVM,False,True
AVN,False,False
AVO,False,False
AVP,False,True
AVQ,False,True
AVR,False,False
AVS,False,False
AVT,False,True
AVU,False,False
AVV,False,False
AVW,False,True
AVX,False,True
AVY,False,True
AVZ,False,True
AV',False,True
AYA,False,False
AYB,False,True
AYC,False,False
AYD,False,False
AYE,False,False
AYF,False,True
AYG,False,False
AYH,False,True
AYI,False,False
AYJ,False,True
AYK,False,False
AYL,False,False
AYM,False,False
AYN,False,True
AYO,False,False
AYP,False,True
AYQ,False,True
AYR,False,False
AYS,False,False
AYT,False,False
AYU,False,False
AYV,False,False
AYW,False,False
AYX,False,True
AYY,False,False
AYZ,False,False
AY',False,True
AZA,False,False
AZB,False,False
AZC,False,False
AZD,False,True
AZE,False,False
AZF,False,False
AZG,False,False
AZH,False,False
AZI,False,False
AZJ,False,True
AZK,False,True
AZL,False,True
AZM,False,False
AZN,False,False
AZO,False,False
AZP,False,True
AZQ,False,True
AZR,False,False
AZS,False,True
AZT,False,False
AZU,False,False
AZV,False,True
AZW,False,True
AZX,False,True
AZY,False,True
AZZ,False,False
AZ',False,True
BAA,False,False
BAB,True,False
BAC,True,False
BAD,True,False
BAE,True,False
BAF,False,False
BAG,True,False
BAH,False,False
BAI,True,False
BAJ,False,False
BAK,True,False
BAL,True,False
BAM,False,False
BAN,True,False
BAO,False,False
BAP,False,False
BAQ,False,False
BAR,True,False
BAS,True,False
BAT,True,False
BAU,True,False
BAV,False,False
BAW,False,False
BAX,False,False
BAY,True,False
BAZ,False,False
BA',False,True
BEA,True,False
BEB,False,False
BEC,True,False
BED,False,False
BEE,False,False
BEF,False,False
BEG,False,False
BEH,True,False
BEI,False,False
BEJ,False,False
BEK,False,False
BEL,True,False
BEM,False,False
BEN,True,False
BEO,False,True
BEP,False,True
BEQ,False,False
BER,True,False
BES,True,False
BET,True,False
BEU,False,False
BEV,False,False
BEW,False,False
BEX,False,True
BEY,False,False
BEZ,False,False
BE',False,False
BHA,True,False
BHB,False,True
BHC,False,True
BHD,False,True
BHE,False,True
BHF,False,True
BHG,False,True
BHH,False,True
BHI,False,False
BHJ,False,True
BHK,False,True
BHL,False,True
BHM,False,True
BHN,False,True
BHO,False,False
BHP,False,True
BHQ,False,True
BHR,False,True
BHS,False,True
BHT,False,True
BHU,False,False
BHV,False,True
BHW,False,True
BHX,False,True
BHY,False,True
BHZ,False,True
BH',False,True
BIA,False,False
BIB,False,False
BIC,False,False
BID,False,False
BIE,True,False
BIF,False,False
BIG,False,False
BIH,False,False
BII,False,True
BIJ,False,False
BIK,False,False
BIL,True,False
BIM,False,False
BIN,True,False
BIO,False,False
BIP,False,True
BIQ,False,False
BIR,True,False
BIS,True,False
BIT,False,False
BIU,False,False
BIV,False,False
BIW,False,True
BIX,False,False
BIY,False,False
BIZ,False,False
BI',False,True
BLA,True,False
BLB,False,True
BLC,False,True
BLD,False,True
BLE,False,False
BLF,False,True
BLG,False,True
BLH,False,True
BLI,False,False
BLJ,False,True
BLK,False,True
BLL,False,False
BLM,False,True
BLN,False,True
BLO,True,False
BLP,False,True
BLQ,False,True
BLR,False,True
BLS,False,True
BLT,False,True
BLU,True,False
BLV,False,True
BLW,False,True
BLX,False,True
BLY,False,False
BLZ,False,True
BL',False,True
BOA,False,False
BOB,False,False
BOC,True,False
BOD,True,False
BOE,True,False
BOF,False,False
BOG,True,False
BOH,True,False
BOI,False,False
BOJ,False,False
BOK,False,False
BOL,True,False
BOM,False,False
BON,True,False
BOO,True,False
BOP,False,False
BOQ,False,False
BOR,True,False
BOS,True,False
BOT,True,False
BOU,True,False
BOV,False,False
BOW,True,False
BOX,False,False
BOY,True,False
BOZ,False,False
BO',False,True
BRA,True,False
BRB,False,True
BRC,False,True
BRD,False,False
BRE,True,False
BRF,False,True
BRG,False,True
BRH,False,True
BRI,True,False
BRJ,False,True
BRK,False,False
BRL,False,False
BRM,False,True
BRN,False,True
BRO,True,False
BRP,False,True
BRQ,False,True
BRR,False,True
BRS,False,True
BRT,False,True
BRU,True,False
BRV,False,True
BRW,False,True
BRX,False,True
BRY,True,False
BRZ,False,False
BR',False,True
BUA,False,False
BUB,False,False
BUC,True,False
BUD,False,False
BUE,True,False
BUF,False,False
BUG,False,False
BUH,False,False
BUI,False,False
BUJ,False,False
BUK,False,False
BUL,True,False
BUM,False,False
BUN,False,False
BUO,False,False
BUP,False,True
BUQ,False,True
BUR,True,False
BUS,True,False
BUT,True,False
BUU,False,False
BUV,False,False
BUW,False,True
BUX,False,False
BUY,False,False
BUZ,False,False
BU',False,True
BYA,False,False
BYB,False,False
BYC,False,False
BYD,False,False
BYE,False,False
BYF,False,True
BYG,False,False
BYH,False,True
BYI,False,False
BYJ,False,True
BYK,False,False
BYL,False,False
BYM,False,True
BYN,False,False
BYO,False,False
BYP,False,True
BYQ,False,True
BYR,False,False
BYS,False,False
BYT,False,False
BYU,False,False
BYV,False,True
BYW,False,True
BYX,False,True
BYY,False,True
BYZ,False,True
BY',False,True
CAA,False,True
CAB,False,False
CAC,False,False
CAD,False,False
CAE,False,False
CAF,False,False
CAG,False,False
CAH,False,False
CAI,True,False
CAJ,False,False
CAK,False,False
CAL,True,False
CAM,True,False
CAN,True,False
CAO,True,False
CAP,True,False
CAQ,False,True
CAR,True,False
CAS,True,False
CAT,True,False
CAU,False,False
CAV,False,False
CAW,False,False
CAX,False,True
CAY,False,False
CAZ,False,False
CA',False,True
CEA,False,False
CEB,False,False
CEC,False,False
CED,False,False
CEE,False,False
CEF,False,True
CEG,False,False
CEH,False,False
CEI,False,True
CEJ,False,False
CEK,False,False
CEL,False,False
CEM,False,False
CEN,False,False
CEO,False,False
CEP,False,False
CEQ,False,True
CER,True,False
CES,False,False
CET,False,False
CEU,False,True
CEV,False,False
CEW,False,True
CEX,False,True
CEY,False,False
CEZ,False,False
CE',False,True
CHA,True,False
CHB,False,False
CHC,False,True
CHD,False,True
CHE,True,False
CHF,False,True
CHG,False,True
CHH,False,False
CHI,True,False
CHJ,False,True
CHK,False,False
CHL,False,False
CHM,False,False
CHN,False,True
CHO,True,False
CHP,False,True
CHQ,False,True
CHR,True,False
CHS,False,False
CHT,False,False
CHU,True,False
CHV,False,False
CHW,False,False
CHX,False,True
CHY,False,False
CHZ,False,False
CH',False,True
CIA,False,False
CIB,False,False
CIC,False,False
CID,False,False
CIE,False,False
CIF,False,False
CIG,False,False
CIH,False,False
CII,False,True
CIJ,False,False
CIK,False,True
CIL,False,False
CIM,False,False
CIN,False,False
CIO,False,False
CIP,False,False
CIQ,False,True
CIR,False,False
CIS,False,False
CIT,False,False
CIU,False,False
CIV,False,False
CIW,False,True
CIX,False,True
CIY,False,True
CIZ,False,False
CI',False,True
CLA,True,False
CLB,False,True
CLC,False,True
CLD,False,True
CLE,True,False
CLF,False,True
CLG,False,True
CLH,False,True
CLI,False,False
CLJ,False,True
CLK,False,True
CLL,False,True
CLM,False,True
CLN,False,True
CLO,False,False
CLP,False,True
CLQ,False,True
CLR,False,True
CLS,False,True
CLT,False,True
CLU,False,False
CLV,False,True
CLW,False,True
CLX,False,True
CLY,False,False
CLZ,False,True
CL',False,True
COA,False,False
COB,False,False
COC,False,False
COD,False,False
COE,False,False
COF,False,False
COG,False,False
COH,True,False
COI,False,False
COJ,False,False
COK,False,False
COL,True,False
COM,True,False
CON,True,False
COO,True,False
COP,False,False
COQ,False,False
COR,True,False
COS,True,False
COT,False,False
COU,True,False
COV,False,False
COW,False,False
COX,False,False
COY,False,False
COZ,False,False
CO',False,True
CRA,True,False
CRB,False,True
CRC,False,True
CRD,False,True
CRE,True,False
CRF,False,True
CRG,False,True
CRH,False,False
CRI,False,False
CRJ,False,True
CRK,False,True
CRL,False,True
CRM,False,True
CRN,False,False
CRO,True,False
CRP,False,True
CRQ,False,True
CRR,False,True
CRS,False,False
CRT,False,True
CRU,False,False
CRV,False,False
CRW,False,True
CRX,False,True
CRY,False,False
CRZ,False,True
CR',False,True
CUA,False,False
CUB,False,False
CUC,False,False
CUD,False,False
CUE,False,False
CUF,False,False
CUG,False,False
CUH,False,False
CUI,False,False
CUJ,False,True
CUK,False,False
CUL,False,False
CUM,False,False
CUN,False,False
CUO,False,False
CUP,False,False
CUQ,False,True
CUR,True,False
CUS,False,False
CUT,False,False
CUU,False,True
CUV,False,False
CUW,False,True
CUX,False,True
CUY,False,False
CUZ,False,False
CU',False,True
DAA,False,False
DAB,False,False
DAC,False,False
DAD,False,False
DAE,False,False
DAF,False,False
DAG,False,False
DAH,False,False
DAI,True,False
DAJ,False,False
DAK,False,False
DAL,True,False
DAM,True,False
DAN,True,False
DAO,False,False
DAP,False,False
DAQ,False,False
DAR,True,False
DAS,True,False
DAT,False,False
DAU,False,False
DAV,True,False
DAW,False,False
DAX,False,False
DAY,False,False
DAZ,False,False
DA',False,True
DEA,False,False
DEB,False,False
DEC,False,False
DED,False,False
DEE,False,False
DEF,False,False
DEG,False,False
DEH,False,False
DEI,False,False
DEJ,False,False
DEK,False,False
DEL,True,False
DEM,True,False
DEN,True,False
DEO,False,False
DEP,False,False
DEQ,False,False
DER,True,False
DES,True,False
DET,False,False
DEU,False,False
DEV,True,False
DEW,False,False
DEX,False,False
DEY,False,False
DEZ,False,False
DE',False,True
DIA,True,False
DIB,False,False
DIC,True,False
DID,False,False
DIE,True,False
DIF,False,False
DIG,False,False
DIH,False,False
DII,False,True
DIJ,False,False
DIK,False,False
DIL,False,False
DIM,False,False
DIN,True,False
DIO,False,False
DIP,False,False
DIQ,False,True
DIR,False,False
DIS,False,False
DIT,False,False
DIU,False,False
DIV,False,False
DIW,False,False
DIX,False,False
DIY,False,True
DIZ,False,False
DI',False,True
DOA,False,False
DOB,True,False
DOC,False,False
DOD,False,False
DOE,True,False
DOF,False,True
DOG,False,False
DOH,False,False
DOI,False,False
DOJ,False,True
DOK,False,False
DOL,True,False
DOM,True,False
DON,True,False
DOO,False,False
DOP,False,False
DOQ,False,True
DOR,True,False
DOS,False,False
DOT,False,False
DOU,True,False
DOV,False,False
DOW,False,False
DOX,False,True
DOY,False,False
DOZ,False,False
DO',False,True
DRA,True,False
DRB,False,True
DRC,False,True
DRD,False,True
DRE,True,False
DRF,False,True
DRG,False,True
DRH,False,True
DRI,False,False
DRJ,False,True
DRK,False,True
DRL,False,False
DRM,False,False
DRN,False,False
DRO,False,False
DRP,False,True
DRQ,False,True
DRR,False,True
DRS,False,True
DRT,False,False
DRU,False,False
DRV,False,True
DRW,False,False
DRX,False,True
DRY,False,False
DRZ,False,False
DR',False,True
DUA,False,False
DUB,True,False
DUC,False,False
DUD,False,False
DUE,False,False
DUF,False,False
DUG,False,False
DUH,False,False
DUI,False,False
DUJ,False,False
DUK,False,False
DUL,False,False
DUM,False,False
DUN,True,False
DUO,False,False
DUP,False,False
DUQ,False,False
DUR,True,False
DUS,False,False
DUT,False,False
DUU,False,False
DUV,False,False
DUW,False,False
DUX,False,False
DUY,False,False
DUZ,False,False
DU',False,True
DYA,False,False
DYB,False,False
DYC,False,False
DYD,False,False
DYE,False,False
DYF,False,True
DYG,False,True
DYH,False,False
DYI,False,True
DYJ,False,True
DYK,False,False
DYL,False,False
DYM,False,False
DYN,False,False
